team,model,intervention assumptions,hospitalization assumptions,methods,methods_filtered,intervention assumptions_filtered,hospitalization assumptions_filtered,forecasts submitted
GT-DeepCOVID (formerly: GA_Tech),GT-DeepCOVID,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,"Daily hospitalizations are predicted from publicly available, state-level data sources.",Deep learning,Machine Learning,sd_continue,reported_hospitalization,"Hospitalizations, deaths"
IBF,IBF-TimeSeries,These projections do not make specific assumptions about which interventions have been implemented or will remain in place.,,Combination of a mechanistic disease transmission model and a curve-fitting approach,Ensemble,,,"Cases, deaths"
IEM,IEM_MED-CovidProject,These projections assume that current interventions will not change during the forecasted period.,,SEIR model with machine learning.,SEIR,sd_continue,,Cases
IHME,IHME-CurveFit,Projections are adjusted to reflect differences in aggregate population mobility and community mitigation policies.,"Daily hospitalizations are estimated from predictions of daily deaths, using state hospitalization rates, where available.",Combination of a mechanistic disease transmission model and a curve-fitting approach,Ensemble,,number_of_forecasted_death,"Cases, hospitalizations, deaths"
Imperial,Imperial-ensemble1,These projections do not make any specific assumptions about which interventions have been implemented or will remain in place.,,"Ensembles of mechanistic transmission models, fit to different parameter assumptions",Ensemble,,,Deaths
Imperial,Imperial-ensemble2,These projections do not make any specific assumptions about which interventions have been implemented or will remain in place.,,"Ensembles of mechanistic transmission models, fit to different parameter assumptions",Ensemble,,,Deaths
IQVIA,IQVIA_ACOE-STAN,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,,Spatiotemporal attention network model,Machine Learning,sd_continue,,Cases
ISU,IowaStateLW-STEM,These projections do not make any specific assumptions about which interventions have been implemented or will remain in place.,,Nonparametric spatiotemporal model,Nonparametric,sd_continue,,"Cases, deaths"
JCB,JCB-PRM,The incidence of COVID-19 in the population determines the strength of and resulting impact of control measures in the future.,,Phenomenological statistical model,Phenomenological,,,Deaths
JHU-APL,JHUAPL-Bucky,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,,Metapopulation SEIR model,SEIR,sd_continue,,"Cases, deaths"
JHU-APL,JHUAPL-SLPHospEns,,,Metapopulation SEIR model,SEIR,,,hospitalizations
JHU-CSSE,JHU_CSSE-DECOM,These projections assume that current interventions will not change during the forecasted period.,,Machine learning,Machine Learning,sd_continue,,"Cases, deaths"
JHU-IDD,JHU_IDD-CovidSP,This model assumes that the effectiveness of interventions is reduced after shelter-in-place orders are lifted.,Daily hospitalizations are estimated from predictions of daily cases. A standard proportion is applied to all states.,Metapopulation SEIR model,SEIR,sd_change,fraction_of_infected,"Cases, hospitalizations, deaths"
JHU-UNC-Google,JHU_UNC_GAS-StatMechPool,These projections assume that current interventions will not change during the forecasted period.,,This forecast is an ensemble of two different models: A multiplicative growth model and a curve fitting model.,Ensemble,sd_continue,,"Cases, deaths"
Karlen,Karlen-pypm,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,"The model uses state-specific hospitalization data. New hospitalizations are estimated from these data, or from the estimated number of new infections that will occur in each location.",Discrete time difference equations,Discrete Differential,sd_continue,complex,"Cases, hospitalizations, deaths"
LANL,LANL-GrowthRate,This model assumes interventions in place on the first day of the forecast will remain in place for the next four weeks. ,"State demographics and age-group symptomatic case hospitalization rates are used to estimate the daily number of hospitalizations, based on estimates of the total number of infections.",Statistical dynamical growth model accounting for population susceptibility,Regression,sd_continue,fraction_of_infected,"Cases, hospitalizations, deaths"
LNQ,LNQ-ens1,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,,Machine learning,Machine Learning,sd_continue,,"Cases, deaths"
LSHTM,epiforecasts-ensemble1,These projections assume that current interventions will not change during the forecasted period.,,"This forecast is an ensemble of three different models: A time-varying reproductive number-base model, a time series model based on numbers of deaths, and a time series model based on numbers of cases and deaths. ",Ensemble,sd_continue,,Deaths
Microsoft (formerly: MSRA),Microsoft-DeepSTIA,These projections assume that current interventions will not change during the forecasted period.,,SEIR model on a spatiotemporal network,SEIR,sd_continue,,"Cases, deaths"
MIT-CovAlliance,MITCovAlliance-SIR,The projections assume that current interventions will remain in place indefinitely.,,SIR model ,SIR,sd_continue,,"Cases, deaths "
MIT-LCP,MIT_CritData-GBCF,The projections assume that current interventions will remain in place indefinitely.,,Machine learning,Machine Learning,sd_continue,,Deaths
MIT-ORC,CovidAnalytics-DELPHI,The projections assume that current interventions will remain in place indefinitely.,,SEIR model ,SEIR,sd_continue,,"Cases, deaths"
MOBS,MOBS-GLEAM_COVID,The projections assume that social distancing policies in place at the date of calibration are extended for the future weeks.,,"Metapopulation, age-structured SLIR model",SLIR,sd_continue,,"Hospitalizations, deaths"
NotreDame-FRED,NotreDame-FRED,"These forecasts assume that population-level mobility is a reliable proxy for adherence to social distancing, and that recent trends in mobility will continue over the coming weeks.",,Agent-based model,Agent-based Modeling,,,
NotreDame-Mobility,NotreDame-mobility,"These forecasts assume that population-level mobility is a reliable proxy for adherence to social distancing, and that recent trends in mobility will continue over the coming weeks.",,"SEIR model fit to data on deaths, test positivity, and population mobility",SEIR,sd_continue,,
Oliver Wyman,OliverWyman-Navigator,These projections assume that current interventions will not change during the forecasted period.,,Time-dependent SIR model for detected and undetected cases,SIR,sd_continue,,"Cases, deaths"
OneQuietNight,OneQuietNight-ML,These projections assume that current interventions will not change during the forecasted period.,,Machine learning models.,Machine Learning,sd_continue,,Cases
PandemicCentral,PandemicCentral-USCounty,These projections assume that current interventions will not change during the forecasted period.,,Random forest machine learning model,Machine Learning,sd_continue,,Cases
PSI,PSI-DRAFT,These projections assume that current interventions will not change during the forecasted period.,,Stochastic SEIRX model,SEIR,sd_change,,Deaths
QJHong,QJHong-Encounter,These projections assume that current interventions will not change during the forecasted period.,,Machine learning using case data and mobility data,Machine Learning,sd_continue,,"Cases, deaths"
RPI-UW,RPI_UW-Mob_Collision,These projections calibrate the rate of transmission to the average rate of population mobility since the start of the epidemic and assume that this relationship will not change in the next four weeks.,,SIR model fit to mobility data,SIR,sd_continue,,Deaths
SignatureScience,SigSci-TS,These projections assume that current interventions will not change during the forecasted period.,,Autoregressive time-series model,Regression,sd_continue,,"Cases, deaths"
STH,STH-3PU,These projections assume that current interventions will not change during the forecasted period.,,Statistical growth model,Regression,sd_continue,,Deaths
SUNY,UpstateSU-GRU,These projections assume that current interventions will not change during the forecasted period.,,Machine learning,Machine Learning,sd_continue,,"Cases, deaths"
TTU,TTU-squider,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.,,SIR model,SIR,sd_continue,,Cases
UA,UA-EpiCovDA,This model assumes that current interventions will remain in effect for at least four weeks after the forecasts are made.,,SIR model with data assimilation,SIR,sd_continue,,Deaths
UCF,UCF-AEM,These projections assume that current interventions will not change during the forecasted period.,,SEIR model informed with with ensemble neural networks ,SEIR,sd_continue,,Cases
UChicago,UChicago-CovidIL,These forecasts assume that transmission rate will increase by 10% when stay-at-home policies are lifted.,,SEIR model,SEIR,,,Deaths
UChicago,UChicago-CovidIL_100,These forecasts assume that transmission rate will increase by 10% when stay-at-home policies are lifted.,,SEIR model,SEIR,,,Deaths
UChicago,UChicago-CovidIL_10_+,These forecasts assume that transmission rate will increase by 10% when stay-at-home policies are lifted.,,SEIR model,SEIR,,,Deaths
UChicago,UChicago-CovidIL_30_+,These forecasts assume that transmission rate will increase by 10% when stay-at-home policies are lifted.,,SEIR model,SEIR,,,Deaths
UChicago,UChicago-CovidIL_40,These forecasts assume that transmission rate will increase by 10% when stay-at-home policies are lifted.,,SEIR model,SEIR,,,Deaths
UChicago,UChicago-CovidIL_60,These forecasts assume that transmission rate will increase by 10% when stay-at-home policies are lifted.,,SEIR model,SEIR,,,Deaths
UChicago,UChicago-CovidIL_80,These forecasts assume that transmission rate will increase by 10% when stay-at-home policies are lifted.,,SEIR model,SEIR,,,Deaths
UCLA,UCLA-SuEIR,This model assumes that contact rates will increase as states reopen. The increase in contact rates is calculated for each state.,"The number of new hospitalizations per day are estimated from the number of infections, using state-specific hospitalization rates.",Modified SEIR model,SEIR,sd_change,fraction_of_infected,"Cases, hospitalizations, deaths"
UCM,UCM_MESALab-FoGSEIR,These projections assume that current interventions will not change during the forecasted period.,, SEIR model,SEIR,sd_continue,,Deaths
UCSB,UCSB-ACTS,These projections assume that current interventions will not change during the forecasted period.,"The number of new hospitalizations per day are estimated from the number of infections, using state-specific hospitalization rates.",An attention mechanism (deep learning) time series model,Machine Learning,sd_continue,fraction_of_infected,"Cases, hospitalizations, deaths"
UCSD-NEU,UCSD_NEU-DeepGLEAM,These projections assume that current interventions will not change during the forecasted period.,,Age-structured metapopulation model with deep learning,Machine Learning,sd_continue,,Deaths
UGA-CEID,CEID-Walk,The projections assume that social distancing policies in place at the date of calibration are extended for the future weeks.,,Statistical random walk model,Machine Learning,sd_continue,,Cases and deaths
UM,UMich-RidgeTfReg,These projections assume that current interventions will not change during the forecasted period.,,Ridge regression,Regression,sd_continue,,"Cases, deaths"
Umass-Ensemble,UMass-ExpertCrowd,"The ensemble forecasts include all submitted forecasts, derived from models that assume certain social distancing measures will continue and models that assume those measures will not continue.",,"The ensemble is a combination of 4 to 20 models, depending on the availability of forecasts for each location. To ensure consistency, the ensemble includes only models with 4 week-ahead forecasts.",Ensemble,sd_continue,,"Cases, deaths"
UMass-MB,UMass-MechBayes,These projections do not make any specific assumptions about which interventions have been implemented or will remain in place.,,Mechanistic Bayesian compartment model,Bayesian,sd_continue,,"Cases, deaths"
USACE,USACE-ERDC_SEIR,These projections assume that current interventions will not change during the forecasted period.,"The number of new hospitalizations per day are estimated from the number of infections, using state-specific hospitalization rates.",SEIR model,SEIR,sd_continue,fraction_of_infected,"Cases, hospitalizations, deaths"
USC,USC-SI_kJalpha,These projections assume that current interventions will not change during the forecasted period.,The number of new hospitalizations per day are estimated from the number of infections.,SIR model,SIR,sd_continue,fraction_of_infected,"Cases, hospitalizations, deaths"
USC,USC-SI_kJalpha_RF,These projections assume that current interventions will not change during the forecasted period.,The number of new hospitalizations per day are estimated from the number of infections.,SIR model,SIR,sd_continue,fraction_of_infected,"Cases, hospitalizations, deaths"
UVA,UVA-Ensemble,"There are two different assumptions influencing this ensemble model. Two of the three models assume that the effects of interventions are reflected in the observed data and will continue going forward, while the third model assumes that interventions will change in the future.",,"This forecast is an ensemble of three different models: An auto-regressive model, a machine learning (long short-memory) model, and a SEIR model.",Ensemble,,,Cases
Wadhwani,Wadhwani_AI-BayesOpt,These projections assume that current interventions will not change during the forecasted period.,,Bayesian SEIR model,SEIR,sd_continue,,"Cases, deaths"
Walmart,WalmartLabsML-LogForecasting,These projections do not make any specific assumptions about which interventions have been implemented or will remain in place.,,Logistic growth,Regression,,,Deaths
Yu_Group,Yu_Group-CLEP,This model assumes that the effects of interventions are reflected in the observed data and will continue going forward.  ,,Ensemble of combined linear and exponential predictors (CLEP),Ensemble,sd_continue,,Cases
YYG,YYG-ParamSearch,The model accounts for individual state-by-state re-openings and responses to increasing cases and their impact on infections and deaths.,,SEIR model with machine learning for parameter estimation,SEIR,,,Deaths
